sort,Name,Sex,Color,Birth Year,Birth Month/Day,Birth Pack,Mother,Father,Birth Location,Current/Death Pack,Previous Packs,Death Year,Last seen,Death/Last Month/Day,Death Cause,Death/Last Location,Alt name,Translocated,on 2024 Wolf Chart?,Official Tree?,Book?,notes
0115,115,F,g,1997,April,Chief Joseph,17F,34M,"Southern Gallatin Mountains, Northwest YNP",Taylor Peak,-,N/A,2005,May ,N/A, Unknown,,,,Yes,Yes,
0116,116,?,g,1997,April,Chief Joseph,17F,34M,"Southern Gallatin Mountains, Northwest YNP",Chief Joseph,-,N/A,1999,April 30,N/A, Unknown,,,,Yes,Yes,
0117,117,?,g,1997,April,Chief Joseph,17F,34M,"Southern Gallatin Mountains, Northwest YNP",Chief Joseph,-,N/A,1997,December 16,N/A, Unknown,,,,Yes,Yes,
0118,118,M,b,1997,April,Crystal Creek,5F,6M,"Pelican Valley, YNP",Sheep Mountain,-,N/A,1999,April ,N/A,North of YNP,,,,Yes,Yes,
0119,119,?,b,1997,April,Crystal Creek,5F,6M,"Pelican Valley, YNP",Crystal Creek,-,N/A,1999,April ,N/A,"Pelican Valley, YNP",,,,Yes,Yes,
0120,120,M,g,1997,April,Crystal Creek,5F,6M,"Pelican Valley, YNP",Soda Butte,-,N/A,2001,May ,N/A,Southern YNP,,,,Yes,Yes,
0121,121,?,g,1997,April,Crystal Creek,5F,6M,"Pelican Valley, YNP",Crystal Creek,-,N/A,1999,April ,N/A, Unknown,,,,Yes,Yes,
0122,122,M,g,1997,April,Crystal Creek,5F,6M,"Pelican Valley, YNP",Crystal Creek,-,N/A,1999,April ,N/A, Unknown,,,,Yes,Yes,
0123,123,M,g,1997,April,Soda Butte,14F,13M,Southern YNP,None,-,1999,N/A,Unknown,Wolf (Crystal Creek),"Pelican Valley area, YNP",,,,Yes,Yes,
0124,124,M,g,1997,April,Soda Butte,14F,13M,Southern YNP,None,-,2000,N/A,unknown,Unknown,Unknown,,,,Yes,Yes,
0125,125,?,g,1997,April,Soda Butte,14F,13M,Southern YNP,None,-,N/A,1999,April ,N/A, Unknown,,,,Yes,Yes,
0126,126,F,b,1997,April,Soda Butte,14F,13M,Southern YNP,None,-,N/A,2009, ,N/A,Unknown,,,,Yes,Yes,
0127,127,?,g,1997,April,Thorofare,30F,35M,Southeastern Yellowstone National Park,Thorofare,-,1998,N/A,January 9,Natural (Avalanche),Southeastern Yellowstone National Park,,,,Yes,Yes,
0128,128,M,b,1997,April,Thorofare,30F,35M,Southeastern Yellowstone National Park,None,-,N/A,1998,May ,N/A, Unknown,,,,Yes,Yes,
0129,129,F,b,1997,April,Thorofare,30F,35M,Southeastern Yellowstone National Park,Gros Ventre,-,2000,N/A,April 30,Legally Killed,Grand Teton National Park Area,,,,Yes,Yes,
0130,130,?,b,1997,April,Thorofare,30F,35M,Southeastern Yellowstone National Park,None,-,N/A,1998,unknown,N/A, Unknown,,,,Yes,Yes,
0131,131,?,b,1997,April,Thorofare,30F,35M,Southeastern Yellowstone National Park,None,-,N/A,1998,unknown,N/A, Unknown,,,,Yes,Yes,
0132,132,M,b,1997,April,Washakie,26F,15M,"DuNoir Valley, WY",None,-,N/A,1999,Unknown,N/A, Unknown,,,,Yes,Yes,
0133,133,M,b,1997,April,Washakie,26F,15M,"DuNoir Valley, WY",Teton,-,1999,N/A,unknown,Vehicle,Near Grand Teton National Park,,,,Yes,Yes,
0134,134,?,g,1997,April,Washakie,26F,15M,"DuNoir Valley near Dubois, WY",None,-,N/A,1998,Unknown,N/A, Unknown,,,,Yes,Yes,
0135,135,?,g,1997,April,Washakie,26F,15M,"DuNoir Valley near Dubois, WY",None,-,1998,N/A,June 21,Legally Killed,"DuNoir Valley, WY",,,,Yes,Yes,
0136,136,F,b,1997,April,Crystal Creek,5F,6M,"Pelican Valley, YNP",Crystal Creek,-,N/A,1999,April ,N/A, Unknown,,,,Yes,Yes,
0137,137,F,b,1997,April,Thorofare,30F,35M,Southeastern Yellowstone National Park,Gros Ventre,-,N/A,2001,May 7,N/A, Unknown,,,,Yes,Yes,
0138,138,?,b,1997,April,Washakie,26F,15M,"DuNoir Valley, WY",None,-,N/A,1998,Unknown,N/A, Unknown,,,,Yes,Yes,
0139,139,?,b,1998,April,Druid Peak,40F,21M,"Lamar Valley, YNP",Druid Peak,-,N/A,1998,March ,N/A,"Lamar Valley, YNP",,,,Yes,Yes,
0140,140,?,?,1997,April,Rose Creek,18F,8M,"Little America, YNP",Rose Creek,-,N/A,1997,unknown,N/A, Unknown,,,,Yes,Yes,
0141,141,M,b,1998,April,Chief Joseph,33F,34M,"Southern Gallatin Mountains, Northwest YNP",Chief Joseph,-,1998,N/A,October ,Vehicle,"Highway 191, Western Edge of YNP",,,,Yes,Yes,
0142,142,F,g,1998,April,Chief Joseph,33F,34M,"Southern Gallatin Mountains, Northwest YNP",Chief Joseph,-,1998,N/A,November ,Vehicle,"Highway 191, Western Edge of YNP",,,,Yes,Yes,
0143,143,?,b,1998,April,Chief Joseph,33F,34M,"Southern Gallatin Mountains, Northwest YNP",Chief Joseph,-,N/A,1999,Unknown,N/A, Unknown,,,,Yes,Yes,
0144,144,?,b,1998,April,Chief Joseph,33F,34M,"Southern Gallatin Mountains, Northwest YNP",Chief Joseph,-,N/A,1999,Unknown,N/A, Unknown,,,,Yes,Yes,
0145,145,?,b,1998,April,Chief Joseph,33F,34M,"Southern Gallatin Mountains, Northwest YNP",Chief Joseph,-,N/A,1999,Unknown,N/A, Unknown,,,,Yes,Yes,
0146,146,?,g,1998,April,Chief Joseph,33F,34M,"Southern Gallatin Mountains, Northwest YNP",Chief Joseph,-,N/A,1999,Unknown,N/A, Unknown,,,,Yes,Yes,
0147,147,M,g,1998,April,Chief Joseph,33F,34M,"Southern Gallatin Mountains, Northwest YNP",Washakie,-,N/A,2002,Unknown,N/A, Unknown,,,,Yes,Yes,Charts list as a member of Washakie untill 2002
0148,148,F,b,1998,April,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",Leopold,-,N/A,2000,Unknown,N/A, Unknown,,,,Yes,Yes,
0149,149,?,b,1998,April,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",Leopold,-,N/A,1999,Unknown,N/A, Unknown,,,,Yes,Yes,
0150,150,M,b,1998,April,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",None,-,N/A,2000,Unknown,N/A, Unknown,,,,Yes,Yes,
0151,151,F,g,1998,April,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",Cougar Creek,-,2008,N/A,October 2,Natural (Disease),"West Central, YNP",,,,Yes,Yes,
0152,152,F,g,1998,April,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",Swan Lake,-,2005,N/A,July 23,Wolf ,"Swan Lake Flat, YNP",,,,Yes,Yes,
0153,153,F,b,1998,April,Rose Creek,9F (18F?),8M,"Little America, YNP",Absaroka,-,N/A,2003,Unknown,N/A, Unknown,,,,Yes,Yes,
0154,154,F,b,1998,April,Rose Creek,9F (18F?),8M,"Little America, YNP",None,-,N/A,2000,Unknown,N/A, Unknown,,,,Yes,Yes,
0155,155,F,b,1998,April,Rose Creek,9F (18F?),8M,"Little America, YNP",Rose Creek,-,2001,N/A,March,Unknown, Unknown,,,,Yes,Yes,
0156,156,F,b,1998,April,Rose Creek,9F (18F?),8M,"Little America, YNP",Rose Creek,-,N/A,2000,Unknown,N/A, Unknown,,,,Yes,Yes,
0157,157,?,b,1998,April,Rose Creek,9F (18F?),8M,"Little America, YNP",Rose Creek,-,N/A,1999,Unknown,N/A, Unknown,,,,Yes,Yes,
0158,158,?,b,1998,April,Rose Creek,18F (9F?),8M,"Little America, YNP",Rose Creek,-,N/A,1999,Unknown,N/A, Unknown,,,,Yes,Yes,
0159,159,?,b,1998,April,Rose Creek,18F (9F?),8M,"Little America, YNP",Rose Creek,-,N/A,1999,Unknown,N/A, Unknown,,,,Yes,Yes,
0160,160,F,b,1998,April,Rose Creek,18F (9F?),8M,"Little America, YNP",Rose Creek,-,1998,N/A,unknown,Human, Unknown,,,,Yes,Yes,
0161,161,M,g,1998,April,Rose Creek,18F (9F?),8M,"Little America, YNP",Freezeout,-,N/A,2003,Unknown,N/A, Unknown,,,,Yes,Yes,
0162,162,M,g,1998,April,Rose Creek,18F (9F?),8M,"Little America, YNP",Green River,Tower,N/A,2003,Unknown,N/A, Unknown,,,,Yes,Yes,
0163,163,M,g,1998,April,Druid Peak,40F,21M,"Lamar Valley, YNP",Druid Peak,-,2000,N/A,January 12,unknown, Unknown,,,,Yes,Yes,
0164,164,M,b,1998,April,Sheep Mountain,16F,34M,"Sheep Mountain Area, North of YNP",Absaroka,-,N/A,2002,unknown,N/A, Unknown,,,,Yes,Yes,
0165,165,M,b,1997?,?,?,?,?,Location Unknown,Sheep Mountain,-,1999,N/A,unknown,Legally Killed, Unknown,,,,Yes,Yes,
0166,166,?,b,1998,April,Sheep Mountain,16F,34M,"Sheep Mountain Area, North of YNP",Sheep Mountain,-,N/A,1999,unknown,N/A, Unknown,,,,Yes,Yes,
0167,167,F,g,1998,April,Sheep Mountain,16F,34M,"Sheep Mountain Area, North of YNP",Sheep Mountain,-,1999,N/A,unknown,Legally Killed,"Sheep Mountain Area, North of YNP",,,,Yes,Yes,
0168,168,F,g,1998,April,Sheep Mountain,16F,34M,"Sheep Mountain Area, North of YNP",Sheep Mountain,-,1999,N/A,unknown,Legally Killed, Unknown,,,,Yes,Yes,
0169,169,?,?,1998,April,Sheep Mountain,16F,34M,"Sheep Mountain Area, North of YNP",Sheep Mountain,-,N/A,1998,unknown,N/A,"Sheep Mountain Area, North of YNP",,,,Yes,Yes,
0170,170,?,b,1998,April,Crystal Creek,5F,6M,"Pelican Valley, YNP",Crystal Creek,-,N/A,1999,unknown,N/A, Unknown,,,,Yes,Yes,
0171,171,?,b,1998,April,Crystal Creek,5F,6M,"Pelican Valley, YNP",Crystal Creek,-,N/A,1999,unknown,N/A, Unknown,,,,Yes,Yes,
0172,172,?,b,1998,April,Crystal Creek,5F,6M,"Pelican Valley, YNP",Crystal Creek,-,N/A,1999,unknown,N/A, Unknown,,,,Yes,Yes,
0173,173,?,b,1998,April,Crystal Creek,5F,6M,"Pelican Valley, YNP",Crystal Creek,-,N/A,1999,unknown,N/A, Unknown,,,,Yes,Yes,
0174,174,F,g,1998,April,Crystal Creek,5F,6M,"Pelican Valley, YNP",Mollie's,-,2004,N/A,December 12,Unknown,"Pelican Valley, YNP",,,,Yes,Yes,
0175,175,F,g,1998,April,Crystal Creek,5F,6M,"Pelican Valley, YNP",Mollie's,-,2003,N/A,March 7,Wolf,"Pelican Valley, YNP",,,,Yes,Yes,
0176,176,?,g,1998,April,Crystal Creek,5F,6M,"Pelican Valley, YNP",Crystal Creek,-,N/A,1999,unknown,N/A, Unknown,,,,Yes,Yes,
0177,177,?,g,1998,April,Crystal Creek,5F,6M,"Pelican Valley, YNP",Crystal Creek,-,N/A,1999,unknown,N/A, Unknown,,,,Yes,Yes,
0178,178,?,g,1998,April,Nez Perce,48F(?),29M(?),"Near Old Faithful, YNP",Nez Perce,-,N/A,1999,unknown,N/A, Unknown,,,,Yes,Yes,
0179,179,?,g,1998,April,Nez Perce,48F(?),29M(?),"Near Old Faithful, YNP",Nez Perce,-,N/A,1999,unknown,N/A, Unknown,,,,Yes,Yes,
0180,180,?,g,1998,April,Nez Perce,48F(?),29M(?),"Near Old Faithful, YNP",Nez Perce,-,N/A,1999,unknown,N/A, Unknown,,,,Yes,Yes,
0181,181,F,?,1998,April,Sheep Mountain,16F,34M,"Sheep Mountain Area, North of YNP",Sheep Mountain,-,N/A,1998,unknown,N/A, Unknown,,,,Yes,Yes,
0182,182,M,b,1999,April,Sheep Mountain,16F,165M (118M?),"Sheep Mountain Area, North of YNP",Sheep Mountain,-,1999,N/A,unknown,Legally Killed, Unknown,,,,Yes,Yes,
0183,183,F,b,1999,April,Sheep Mountain,16F,165M (118M?),"Sheep Mountain Area, North of YNP",Sheep Mountain,-,1999,N/A,unknown,Legally Killed, Unknown,,,,Yes,Yes,
0184,184,F,b,1999,April,Sheep Mountain,16F,165M (118M?),"Sheep Mountain Area, North of YNP",Sheep Mountain,-,1999,N/A,unknown,Legally Killed, Unknown,,,,Yes,Yes,
