sort,Name,Sex,Color,Birth Year,Birth Month/Day,Birth Pack,Mother,Father,Birth Location,Current/Death Pack,Previous Packs,Death Year,Last seen,Death/Last Month/Day,Death Cause,Death/Last Location,Alt name,Translocated,on 2024 Wolf Chart?,Official Tree?,Book?,notes
1948,P8026,?,?,2010,April,Mollie's,486F,495M,"Pelican Valley, YNP",Mollie's,-,N/A,2010,unknown,N/A,unknown,Pup Mollie's,,,Yes,No,
1949,P8027,?,g,2010,April,Yellowstone Delta,575F,760F,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2010,unknown,N/A,unknown,Pup?g8027,,,Yes,No,
1950,P8028,?,g,2010,April,Yellowstone Delta,575F,760F,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2010,unknown,N/A,unknown,Pup?g8028,,,Yes,No,
1951,P8029,?,g,2010,April,Yellowstone Delta,575F,760F,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2010,unknown,N/A,unknown,Pup?g8029,,,Yes,No,
1952,P7285,?,?,2011,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,N/A,2011,unknown,N/A,unknown,Pup 8 Mile,,,Yes,No,
1953,P7286,?,?,2011,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,N/A,2011,unknown,N/A,unknown,Pup 8 Mile,,,Yes,No,
1954,P7299,?,?,2011,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,2011,N/A,unknown,Unknown,"Quadrant Mountain Area, YNP",Pup 8 Mile,,,Yes,No,
1955,P7300,?,?,2011,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,2011,N/A,unknown,Unknown,"Quadrant Mountain Area, YNP",Pup 8 Mile,,,Yes,No,
1956,P7301,?,?,2011,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,2011,N/A,unknown,Unknown,"Quadrant Mountain Area, YNP",Pup 8 Mile,,,Yes,No,
1957,P7302,?,?,2011,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,2011,N/A,unknown,Unknown,"Quadrant Mountain Area, YNP",Pup 8 Mile,,,Yes,No,
1958,P7303,?,?,2011,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,2011,N/A,unknown,Unknown,"Quadrant Mountain Area, YNP",Pup 8 Mile,,,Yes,No,
1959,P7304,?,?,2011,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,2011,N/A,unknown,Unknown,"Quadrant Mountain Area, YNP",Pup 8 Mile,,,Yes,No,
1960,P7305,?,?,2011,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,2011,N/A,unknown,Unknown,"Quadrant Mountain Area, YNP",Pup 8 Mile,,,Yes,No,
1961,P7306,?,?,2011,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,2011,N/A,unknown,Unknown,"Quadrant Mountain Area, YNP",Pup 8 Mile,,,Yes,No,
1962,P8030,?,?,2011,April,Blacktail,693F,778M,"Blacktail Deer Plateau, YNP",Blacktail,-,N/A,2011,unknown,N/A,unknown,Pup Blacktail Deer Plateau,,,Yes,No,
1963,P8031,?,?,2011,April,Blacktail,693F,778M,"Blacktail Deer Plateau, YNP",Blacktail,-,N/A,2011,unknown,N/A,unknown,Pup Blacktail Deer Plateau,,,Yes,No,
1964,P8032,?,?,2011,April,Blacktail,693F,778M,"Blacktail Deer Plateau, YNP",Blacktail,-,N/A,2011,unknown,N/A,unknown,Pup Blacktail Deer Plateau,,,Yes,No,
1965,P8033,?,?,2011,April,Blacktail,693F,778M,"Blacktail Deer Plateau, YNP",Blacktail,-,N/A,2011,unknown,N/A,unknown,Pup Blacktail Deer Plateau,,,Yes,No,
1966,P8053,?,?,2011,April,Canyon,Canyon Alpha Female,712M,"Hayden Valley Area, YNP",Canyon ,-,2011,N/A,unknown,Unknown,"Hayden Valley Area, YNP",Pup??8053,,,Yes,No,
1967,P8061 CC,?,b,2011,April,Cougar Creek,478F,689M,"Madison Valley Area, YNP",Cougar Creek,-,N/A,2011,unknown,N/A,unknown,Black Pup Cougar Creek,,,Yes,No,
1968,P8044,?,b,2011,April,Lamar Canyon,832F,755M,"Slough Creek Area, YNP",Lamar Canyon,-,N/A,2011,unknown,N/A,unknown,Black Pup Lamar Canyon,,,Yes,No,
1969,P8045,?,b,2011,April,Lamar Canyon,832F,755M,"Slough Creek Area, YNP",Lamar Canyon,-,N/A,2011,unknown,N/A,unknown,Black Pup Lamar Canyon,,,Yes,No,
1970,P8046,?,?,2011,April,Lamar Canyon,832F,755M,"Slough Creek Area, YNP",Lamar Canyon,-,N/A,2011,unknown,N/A,unknown,Pup Lamar Canyon,,,Yes,No,
1971,P8054,?,?,2011,April,Mary Mountain,794F,636M,"Gibbon Meadows, YNP",Mary Mountain,-,N/A,2011,unknown,N/A,unknown,Pup??8054,,,Yes,No,
1972,P8055,?,?,2011,April,Mary Mountain,794F,636M,"Gibbon Meadows, YNP",Mary Mountain,-,N/A,2011,unknown,N/A,unknown,Pup??8055,,,Yes,No,
1973,P8056,?,?,2011,April,Mary Mountain,794F,636M,"Gibbon Meadows, YNP",Mary Mountain,-,N/A,2011,unknown,N/A,unknown,Pup??8056,,,Yes,No,
1974,P8050,?,?,2011,April,Mollie's,486F,495M,"Pelican Valley, YNP",Mollie's,-,N/A,2011,unknown,N/A,unknown,Pup Mollie's,,,Yes,No,
1975,P8051,?,?,2011,April,Mollie's,486F,495M,"Pelican Valley, YNP",Mollie's,-,N/A,2011,unknown,N/A,unknown,Pup Mollie's,,,Yes,No,
1976,P8052,?,?,2011,April,Mollie's,486F,495M,"Pelican Valley, YNP",Mollie's,-,N/A,2011,unknown,N/A,unknown,Pup Mollie's,,,Yes,No,
1977,P8200,?,?,2011,April,None,642F,?,"Blacktail Plateau Area, YNP",None,-,N/A,2011,unknown,N/A,"Blacktail Plateau Area, YNP",Pup??8200,,,Yes,No,
1978,P8201,?,?,2011,April,None,642F,?,"Blacktail Plateau Area, YNP",None,-,N/A,2011,unknown,N/A,"Blacktail Plateau Area, YNP",Pup??8201,,,Yes,No,
1979,P8202,?,?,2011,April,None,642F,?,"Blacktail Plateau Area, YNP",None,-,N/A,2011,unknown,N/A,"Blacktail Plateau Area, YNP",Pup??8202,,,Yes,No,
1980,P8203,?,?,2011,April,None,642F,?,"Blacktail Plateau Area, YNP",None,-,N/A,2011,unknown,N/A,"Blacktail Plateau Area, YNP",Pup??8203,,,Yes,No,
1981,P8204,?,?,2011,April,None,642F,?,"Blacktail Plateau Area, YNP",None,-,N/A,2011,unknown,N/A,"Blacktail Plateau Area, YNP",Pup??8204,,,Yes,No,
1982,P8057,?,g,2011,April,Yellowstone Delta,575F,760F,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2011,unknown,N/A,unknown,Pup?g8057,,,Yes,No,
1983,P8058,?,g,2011,April,Yellowstone Delta,575F,760F,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2011,unknown,N/A,unknown,Pup?g8058,,,Yes,No,
1984,P8059,?,g,2011,April,Yellowstone Delta,575F,760F,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2011,unknown,N/A,unknown,Pup?g8059,,,Yes,No,
1985,P8061 8M,?,?,2012,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,2012,N/A,unknown,Unknown,"Quadrant Mountain Area, YNP",Pup 8 Mile,,,Yes,No,
1986,P8062,?,?,2012,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,2012,N/A,unknown,Unknown,"Quadrant Mountain Area, YNP",Pup 8 Mile,,,Yes,No,
1987,P8063,?,?,2012,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,2012,N/A,unknown,Unknown,"Quadrant Mountain Area, YNP",Pup 8 Mile,,,Yes,No,
1988,P8065,?,b,2012,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,N/A,2012,December,N/A,unknown,Pup??8205,,,Yes,No,
1989,P8066,?,g,2012,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,N/A,2012,December,N/A,unknown,Gray Pup 8 Mile,,,Yes,No,
1990,P8075,?,g,2012,April,Canyon,Canyon Alpha Female,712M,"Hayden Valley Area, YNP",Canyon ,-,N/A,2012,unknown,N/A,unknown,Pup?g8075,,,Yes,No,
1991,P8076,?,g,2012,April,Canyon,Canyon Alpha Female,712M,"Hayden Valley Area, YNP",Canyon ,-,N/A,2012,unknown,N/A,unknown,Pup?g8076,,,Yes,No,
1992,P8077,?,g,2012,April,Cougar Creek,478F,689M,"Madison Valley Area, YNP",Cougar Creek,-,N/A,2012,unknown,N/A,unknown,Gray Pup Cougar Creek,,,Yes,No,
1993,P8078,?,?,2012,April,Cougar Creek,478F,689M,"Madison Valley Area, YNP",Cougar Creek,-,N/A,2012,unknown,N/A,unknown,Pup Cougar Creek,,,Yes,No,
1994,P8079,?,?,2012,April,Cougar Creek,478F,689M,"Madison Valley Area, YNP",Cougar Creek,-,N/A,2012,unknown,N/A,unknown,Pup Cougar Creek,,,Yes,No,
1995,P8080,?,?,2012,April,Cougar Creek,478F,689M,"Madison Valley Area, YNP",Cougar Creek,-,N/A,2012,unknown,N/A,unknown,Pup Cougar Creek,,,Yes,No,
1996,P8081,?,?,2012,April,Cougar Creek,478F,689M,"Madison Valley Area, YNP",Cougar Creek,-,N/A,2012,unknown,N/A,unknown,Pup Cougar Creek,,,Yes,No,
1997,P8072,?,b,2012,April,Junction Butte,Ragged Tail,?,"Antelope Basin, YNP",Junction Butte,-,2012,N/A,unknown,Unknown,unknown,Pup?b Junction Butte,,,Yes,No,
1998,P8068,?,b,2012,April,Lamar Canyon,832F,755M,"Lamar Valley, YNP",Lamar Canyon,-,N/A,2012,unknown,N/A,unknown,Black Pup Lamar Canyon,,,Yes,No,
1999,P8069,?,b,2012,April,Lamar Canyon,832F,755M,"Lamar Valley, YNP",Lamar Canyon,-,N/A,2012,unknown,N/A,unknown,Black Pup Lamar Canyon,,,Yes,No,
2000,P8070,?,g,2012,April,Lamar Canyon,832F,755M,"Lamar Valley, YNP",Lamar Canyon,-,N/A,2012,unknown,N/A,unknown,Gray Pup Lamar Canyon,,,Yes,No,
2001,P8082,?,b,2013,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,N/A,2013,unknown,N/A,unknown,Black Pup 8 Mile,,,Yes,No,
2002,P8083,?,b,2013,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,N/A,2013,unknown,N/A,unknown,Black Pup 8 Mile,,,Yes,No,
2003,P8084,?,b,2013,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,N/A,2013,unknown,N/A,unknown,Black Pup 8 Mile,,,Yes,No,
2004,P8085,?,b,2013,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,N/A,2013,unknown,N/A,unknown,Black Pup 8 Mile,,,Yes,No,
2005,P8086,?,b,2013,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,N/A,2013,unknown,N/A,unknown,Black Pup 8 Mile,,,Yes,No,
2006,P8087,?,b,2013,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,N/A,2013,unknown,N/A,unknown,Black Pup 8 Mile,,,Yes,No,
2007,P8088,?,g,2013,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,N/A,2013,unknown,N/A,unknown,Gray Pup 8 Mile,,,Yes,No,
2008,P8089,?,g,2013,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,N/A,2013,unknown,N/A,unknown,Gray Pup 8 Mile,,,Yes,No,
2009,P8107,?,?,2013,April,Bechler,WhAF,?," Bechler Area, Southwestern YNP",Bechler,-,N/A,2013,unknown,N/A,unknown,Pup??8107,,,Yes,No,
2010,P8108,?,?,2013,April,Bechler,WhAF,?," Bechler Area, Southwestern YNP",Bechler,-,N/A,2013,unknown,N/A,unknown,Pup??8108,,,Yes,No,
2011,P8109,?,?,2013,April,Bechler,WhAF,?," Bechler Area, Southwestern YNP",Bechler,-,N/A,2013,unknown,N/A,unknown,Pup??8109,,,Yes,No,
2012,P8110,?,?,2013,April,Bechler,WhAF,?," Bechler Area, Southwestern YNP",Bechler,-,N/A,2013,unknown,N/A,unknown,Pup??8110,,,Yes,No,
2013,P8098,?,?,2013,April,Canyon,Canyon Alpha Female,712M,"Hayden Valley Area, YNP",Canyon ,-,N/A,2013,unknown,N/A,unknown,Pup??8098,,,Yes,No,
2014,P8099,?,?,2013,April,Canyon,Canyon Alpha Female,712M,"Hayden Valley Area, YNP",Canyon ,-,N/A,2013,unknown,N/A,unknown,Pup??8099,,,Yes,No,
2015,P8100,?,?,2013,April,Canyon,Canyon Alpha Female,712M,"Hayden Valley Area, YNP",Canyon ,-,N/A,2013,unknown,N/A,unknown,Pup??8100,,,Yes,No,
2016,P8111,?,?,2013,April,Cougar Creek,478F,689M,"Madison Valley Area, YNP",Cougar Creek,-,N/A,2013,unknown,N/A,unknown,Pup Cougar Creek,,,Yes,No,
2017,P8112,?,?,2013,April,Cougar Creek,478F,689M,"Madison Valley Area, YNP",Cougar Creek,-,N/A,2013,unknown,N/A,unknown,Pup Cougar Creek,,,Yes,No,
2018,P8113,?,?,2013,April,Cougar Creek,478F,689M,"Madison Valley Area, YNP",Cougar Creek,-,N/A,2013,unknown,N/A,unknown,Pup Cougar Creek,,,Yes,No,
2019,P8090,?,?,2013,April,Junction Butte,Ragged Tail,911M,"Antelope Basin, YNP",Junction Butte,-,N/A,2013,unknown,N/A,unknown,Pup Junction Butte,,,Yes,No,
2020,P8094,?,?,2013,April,Mollie's,779F,980M,"Pelican Valley, YNP",Mollie's,-,N/A,2013,unknown,N/A,unknown,Pup Mollie's,,,Yes,No,
2021,P8095,?,?,2013,April,Mollie's,779F,980M,"Pelican Valley, YNP",Mollie's,-,N/A,2013,unknown,N/A,unknown,Pup Mollie's,,,Yes,No,
2022,P8096,?,?,2013,April,Mollie's,779F,980M,"Pelican Valley, YNP",Mollie's,-,N/A,2013,unknown,N/A,unknown,Pup Mollie's,,,Yes,No,
2023,P8101,?,?,2013,April,Yellowstone Delta,633F,?,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2013,unknown,N/A,unknown,Pup??8101,,,Yes,No,
2024,P8102,?,?,2013,April,Yellowstone Delta,633F,?,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2013,unknown,N/A,unknown,Pup??8102,,,Yes,No,
2025,P8103,?,?,2013,April,Yellowstone Delta,633F,?,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2013,unknown,N/A,unknown,Pup??8103,,,Yes,No,
2026,P8104,?,?,2013,April,Yellowstone Delta,633F,?,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2013,unknown,N/A,unknown,Pup??8104,,,Yes,No,
2027,P8105,?,?,2013,April,Yellowstone Delta,633F,?,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2013,unknown,N/A,unknown,Pup??8105,,,Yes,No,
2028,P8106,?,?,2013,April,Yellowstone Delta,633F,?,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2013,unknown,N/A,unknown,Pup??8106,,,Yes,No,
2029,P8116,?,?,2014,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,2014,N/A,unknown,Unknown,"Quadrant Mountain Area, YNP",Pup 8 Mile,,,Yes,No,
2030,P8117,?,?,2014,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,2014,N/A,unknown,Unknown,"Quadrant Mountain Area, YNP",Pup 8 Mile,,,Yes,No,
2031,P8118,?,?,2014,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,2014,N/A,unknown,Unknown,"Quadrant Mountain Area, YNP",Pup 8 Mile,,,Yes,No,
2032,P8119,?,?,2014,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,2014,N/A,unknown,Unknown,"Quadrant Mountain Area, YNP",Pup 8 Mile,,,Yes,No,
2033,P8120,?,?,2014,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,2014,N/A,unknown,Unknown,"Quadrant Mountain Area, YNP",Pup 8 Mile,,,Yes,No,
2034,P8121,?,?,2014,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,2014,N/A,unknown,Unknown,"Quadrant Mountain Area, YNP",Pup 8 Mile,,,Yes,No,
2035,P8122,?,?,2014,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,2014,N/A,unknown,Unknown,"Quadrant Mountain Area, YNP",Pup 8 Mile,,,Yes,No,
2036,P8123,?,?,2014,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,2014,N/A,unknown,Unknown,"Quadrant Mountain Area, YNP",Pup 8 Mile,,,Yes,No,
2037,P8124,?,?,2014,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,N/A,2014,unknown,N/A,unknown,Pup 8 Mile,,,Yes,No,
2038,P8125,?,?,2014,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,N/A,2014,unknown,N/A,unknown,Pup 8 Mile,,,Yes,No,
2039,P8126,?,?,2014,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,N/A,2014,unknown,N/A,unknown,Pup 8 Mile,,,Yes,No,
2040,P8127,?,?,2014,April,8-Mile,909F,871M,"Quadrant Mountain Area, YNP",8-Mile,-,N/A,2014,unknown,N/A,unknown,Pup 8 Mile,,,Yes,No,
2041,P8145,?,?,2014,April,Bechler,WhAF,?," Bechler Area, Southwestern YNP",Bechler,-,N/A,2014,unknown,N/A,unknown,Pup??8145,,,Yes,No,
2042,P8146,?,?,2014,April,Bechler,WhAF,?," Bechler Area, Southwestern YNP",Bechler,-,N/A,2014,unknown,N/A,unknown,Pup??8146,,,Yes,No,
2043,P8147,?,?,2014,April,Bechler,WhAF,?," Bechler Area, Southwestern YNP",Bechler,-,N/A,2014,unknown,N/A,unknown,Pup??8147,,,Yes,No,
2044,P8148,?,?,2014,April,Bechler,WhAF,?," Bechler Area, Southwestern YNP",Bechler,-,N/A,2014,unknown,N/A,unknown,Pup??8148,,,Yes,No,
2045,P8149,?,?,2014,April,Cougar Creek,478F,689M,"Madison Valley Area, YNP",Cougar Creek,-,N/A,2014,unknown,N/A,unknown,Pup Cougar Creek,,,Yes,No,
2046,P8150,?,?,2014,April,Cougar Creek,478F,689M,"Madison Valley Area, YNP",Cougar Creek,-,N/A,2014,unknown,N/A,unknown,Pup Cougar Creek,,,Yes,No,
2047,P8151,?,?,2014,April,Cougar Creek,478F,689M,"Madison Valley Area, YNP",Cougar Creek,-,N/A,2014,unknown,N/A,unknown,Pup Cougar Creek,,,Yes,No,
2048,P7288,?,?,2014,April,Junction Butte,870F,890M,"Specimen Ridge, YNP",Junction Butte,-,2014,N/A,unknown,Unknown,unknown,Pup Junction Butte,,,Yes,No,
2049,P7289,?,?,2014,April,Junction Butte,870F,890M,"Specimen Ridge, YNP",Junction Butte,-,2014,N/A,November,Wolf (Mollie's),unknown,Pup Junction Butte,,,Yes,No,
2050,P7290,?,?,2014,April,Junction Butte,870F,890M,"Specimen Ridge, YNP",Junction Butte,-,N/A,2015,unknown,N/A,unknown,Pup Junction Butte,,,Yes,No,
2051,P7291,?,?,2014,April,Lamar Canyon,926F,925M,"Lamar Valley, YNP",Lamar Canyon,-,N/A,2015,unknown,N/A,"Lamar Valley, YNP",Pup Lamar Canyon,,,Yes,No,
2052,P7292,?,?,2014,April,Lamar Canyon,926F,925M,"Lamar Valley, YNP",Lamar Canyon,-,N/A,2015,unknown,N/A,"Lamar Valley, YNP",Pup Lamar Canyon,,,Yes,No,
2053,P7293,?,?,2014,April,Lamar Canyon,926F,925M,"Lamar Valley, YNP",Lamar Canyon,-,2014,N/A,unknown,Unknown,"Lamar Valley, YNP",Pup Lamar Canyon,,,Yes,No,
2054,P8097,?,?,2014,April,Mollie's,779F,980M,"Pelican Valley, YNP",Mollie's,-,N/A,2014,unknown,N/A,unknown,Pup Mollie's,,,Yes,No,
2055,P8131,?,?,2014,April,Prospect Peak,821F(?),sw763M,"Blacktail Deer Plateau, YNP",Prospect Peak,-,N/A,2014,unknown,N/A,unknown,Pup Prospect Peak,,,Yes,No,
2056,P8132,?,?,2014,April,Prospect Peak,821F(?),sw763M,"Blacktail Deer Plateau, YNP",Prospect Peak,-,N/A,2014,unknown,N/A,unknown,Pup Prospect Peak,,,Yes,No,
2057,P8133,?,?,2014,April,Prospect Peak,821F(?),sw763M,"Blacktail Deer Plateau, YNP",Prospect Peak,-,N/A,2014,unknown,N/A,unknown,Pup Prospect Peak,,,Yes,No,
2058,P8140,?,?,2014,April,Yellowstone Delta,633F(?),?,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2014,unknown,N/A,unknown,Pup??8140,,,Yes,No,
2059,P8141,?,?,2014,April,Yellowstone Delta,633F(?),?,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2014,unknown,N/A,unknown,Pup??8141,,,Yes,No,
2060,P8142,?,?,2014,April,Yellowstone Delta,633F(?),?,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2014,unknown,N/A,unknown,Pup??8142,,,Yes,No,
2061,P8143,?,?,2014,April,Yellowstone Delta,633F(?),?,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2014,unknown,N/A,unknown,Pup??8143,,,Yes,No,
2062,P8144,?,?,2014,April,Yellowstone Delta,633F(?),?,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2014,unknown,N/A,unknown,Pup??8144,,,Yes,No,
2063,P8189,?,?,2015,April,Canyon,Canyon Alpha Female,712M,"Near Old Faithful, YNP",Canyon ,-,N/A,2015,unknown,N/A,unknown,Pup??8189,,,Yes,No,
2064,P8190,?,?,2015,April,Canyon,Canyon Alpha Female,712M,"Near Old Faithful, YNP",Canyon ,-,N/A,2015,unknown,N/A,unknown,Pup??8190,,,Yes,No,
2065,P8153,?,?,2015,April,Cougar Creek,909F,BAM CC,"Quadrant Mountain Area, YNP",Cougar Creek,-,N/A,2015,unknown,N/A,unknown,Pup Cougar Creek,,,Yes,No,
2066,P8154,?,?,2015,April,Cougar Creek,909F,BAM CC,"Quadrant Mountain Area, YNP",Cougar Creek,-,N/A,2015,unknown,N/A,unknown,Pup Cougar Creek,,,Yes,No,
2067,P8155,?,?,2015,April,Cougar Creek,909F,BAM CC,"Quadrant Mountain Area, YNP",Cougar Creek,-,N/A,2015,unknown,N/A,unknown,Pup Cougar Creek,,,Yes,No,
2068,P8192,?,?,2015,April,Cougar Creek,478F,689M,"Madison Valley Area, YNP",Cougar Creek,-,N/A,2015,unknown,N/A,unknown,Pup Cougar Creek,,,Yes,No,
2069,P8162,?,?,2015,April,Junction Butte,970F,911M,"Specimen Ridge, YNP",Junction Butte,-,N/A,2015,unknown,N/A,unknown,Pup Junction Butte,,,Yes,No,
2070,P8163,?,?,2015,April,Junction Butte,970F,911M,"Specimen Ridge, YNP",Junction Butte,-,N/A,2015,unknown,N/A,"Specimen Ridge, YNP",Pup Junction Butte,,,Yes,No,
2071,P8164,?,?,2015,April,Junction Butte,970F,911M,"Specimen Ridge, YNP",Junction Butte,-,N/A,2015,unknown,N/A,"Specimen Ridge, YNP",Pup Junction Butte,,,Yes,No,
2072,P8165,?,?,2015,April,Junction Butte,970F,911M,"Specimen Ridge, YNP",Junction Butte,-,N/A,2015,unknown,N/A,"Specimen Ridge, YNP",Pup Junction Butte,,,Yes,No,
2073,P8166,?,?,2015,April,Junction Butte,970F,911M,"Specimen Ridge, YNP",Junction Butte,-,N/A,2015,unknown,N/A,unknown,Pup Junction Butte,,,Yes,No,
2074,P8167,?,?,2015,April,Junction Butte,970F,911M,"Specimen Ridge, YNP",Junction Butte,-,N/A,2015,unknown,N/A,unknown,Pup Junction Butte,,,Yes,No,
2075,P8168,?,?,2015,April,Junction Butte,970F,911M,"Specimen Ridge, YNP",Junction Butte,-,2015,N/A,unknown,Unknown,unknown,Pup Junction Butte,,,Yes,No,
2076,P8169,?,?,2015,April,Junction Butte,970F,911M,"Specimen Ridge, YNP",Junction Butte,-,N/A,2015,unknown,N/A,unknown,Pup Junction Butte,,,Yes,No,
2077,P8170,?,?,2015,April,Junction Butte,970F,911M,"Specimen Ridge, YNP",Junction Butte,-,N/A,2015,unknown,N/A,unknown,Pup Junction Butte,,,Yes,No,
2078,P8171,?,?,2015,April,Junction Butte,970F,911M,"Specimen Ridge, YNP",Junction Butte,-,N/A,2015,unknown,N/A,unknown,Pup Junction Butte,,,Yes,No,
2079,P8174,?,?,2015,April,Lamar Canyon,926F,925M,"Lamar Valley, YNP",Lamar Canyon,-,2015,N/A,unknown,Unknown,"Lamar Valley, YNP",Pup Lamar Canyon,,,Yes,No,
2080,P8175,?,?,2015,April,Lamar Canyon,926F,925M,"Lamar Valley, YNP",Lamar Canyon,-,2015,N/A,unknown,Unknown,"Lamar Valley, YNP",Pup Lamar Canyon,,,Yes,No,
2081,P8176,?,?,2015,April,Lamar Canyon,926F,925M,"Lamar Valley, YNP",Lamar Canyon,-,N/A,2016,unknown,N/A,"Lamar Valley, YNP",Pup Lamar Canyon,,,Yes,No,
2082,P8177,?,?,2015,April,Lamar Canyon,926F,925M,"Lamar Valley, YNP",Lamar Canyon,-,N/A,2016,unknown,N/A,"Lamar Valley, YNP",Pup Lamar Canyon,,,Yes,No,
2083,P8178,?,?,2015,April,Lamar Canyon,926F,925M,"Lamar Valley, YNP",Lamar Canyon,-,N/A,2016,unknown,N/A,"Lamar Valley, YNP",Pup Lamar Canyon,,,Yes,No,
2084,P8179,?,?,2015,April,Mollie's,779F,980M,"Pelican Valley, YNP",Mollie's,-,N/A,2015,unknown,N/A,unknown,Pup Mollie's,,,Yes,No,
2085,P8180,?,?,2015,April,Mollie's,779F,980M,"Pelican Valley, YNP",Mollie's,-,N/A,2015,unknown,N/A,unknown,Pup Mollie's,,,Yes,No,
2086,P8181,?,?,2015,April,Mollie's,779F,980M,"Pelican Valley, YNP",Mollie's,-,N/A,2015,unknown,N/A,unknown,Pup Mollie's,,,Yes,No,
2087,P8182,?,?,2015,April,Mollie's,779F,980M,"Pelican Valley, YNP",Mollie's,-,N/A,2015,unknown,N/A,unknown,Pup Mollie's,,,Yes,No,
2088,P8183,?,?,2015,April,Mollie's,779F,980M,"Pelican Valley, YNP",Mollie's,-,N/A,2015,unknown,N/A,unknown,Pup Mollie's,,,Yes,No,
2089,P8157,?,?,2015,April,Prospect Peak,821F,sw763M,"Blacktail Deer Plateau, YNP",Prospect Peak,-,N/A,2015,unknown,N/A,unknown,Pup Prospect Peak,,,Yes,No,
2090,P8159,?,?,2015,April,Prospect Peak,821F,sw763M,"Blacktail Deer Plateau, YNP",Prospect Peak,-,N/A,2015,unknown,N/A,unknown,Pup Prospect Peak,,,Yes,No,
2091,P7294,F,b,2015,April,Wapiti Lake,WpAF,755M,"Hayden Valley Area, YNP",Wapiti Lake,-,N/A,2015,unknown,N/A,"Northern Range, YNP",Black Pup Wapiti Lake,,,Yes,No,
2092,P7295,M,b,2015,April,Wapiti Lake,WpAF,755M,"Hayden Valley Area, YNP",Wapiti Lake,-,N/A,2015,unknown,N/A,"Northern Range, YNP",Black Pup Wapiti Lake,,,Yes,No,
